clientMac,group,uniquePlaces,totalTime,size
000aebd9f64b667a7b57e3b5d4831a739cf93b7c77b444758aa6e1bc,others (busride),2,4,1
0168f7c823ec8c5a4fb2d859349a1b58dbc9fb165633d0ab5b97f31e,dorm-start-end (busride),20,2919,71
02f393b69c7c6c1e58a4e624be8656d1152fc2ef05aad1b2d518e978,others (moving),2,2975,72
0509a5dd0e252cc3808b82f4a763bbb30c7167069c1e0924da7f4bbf,dorm-start-end (busride),6,3026,73
0a38bc60d46009a79cd7ea45d08f9b7b6cd3d9878c3eb016a6cffe5d,others (busride),5,188,4
0b7787d73bcc8d6603a3a790e74932ceec237b8364340fd7a6101966,others (moving),6,1960,47
0b895bd0cfa0b0953c3811e91dbe3a094099c36e1729147a48c21749,others (moving),4,1967,47
0d81c43127130a1a6aec3dafaf8d1b8c156e9d31afa64fa427f6693c,others (busride),7,1982,48
10b994f975745ed7a60274d8e4d85498d7de326245a3fbda44fb7700,others (busride),8,1982,48
10bbbd91a6ebb66d0281c0bfec7a746efb4370569d329ff7a92188c6,dorm-start (busride),5,1992,48
1176daff465c2bddff363310d6978fd628588535dd580e02acbb0351,dorm-end (busride),8,2004,48
12d4ca389f20ce80e11276dfc22871c6dd01c4c4a7deb92c743d9c03,dorm-start (busride),18,2005,48
12d9f1804da9e16c0e00557e604121402fae6651714e5c053aa5b17b,dorm-start-end (busride),4,2010,48
152cb4919724f8502a9c94c4b717ae45c57e97566998238b71145d3e,others (busride),2,2021,49
162c42a788518159cb1c585cfccd7eebd442a3c1050fc183051cf308,dorm-start-end (busride),9,2028,49
16e854cf6b2f45e22fdcc50061469df6a6d76376a6e089aee71130ad,others (busride),1,2043,49
187787a1cabd42adf8606874f005675f822d8636ef060ffb8c58cc85,dorm-start-end (busride),2,2044,49
19e8aff1384da354509a38818d274fb5818ac7be316bcc7456bc0b18,dorm-end (busride),14,2053,49
1c5a5a0f39b137ab548e4423832f00049402708a4e0c1ff022a847c0,dorm-start-end (busride),7,2066,50
1df00d0169cadd0a01759f773444c342c14444ef80e32bc6961889fc,dorm-end (busride),4,2071,50
1f7809e84996af55c77a34905f18a025f2fb16ad962fe3e0ea708b8e,others (busride),3,2093,50
211c800304f218b4c5c9c6a5b5215a1fe7e1ec87c8b3b858c0323ea6,others (busride),2,2102,51
22b6462615437153693e449d8f0a679cec29a4da12c593d837b2c334,dorm-end (busride),7,2103,51
28464fe93ff8702563d7e3d227ecd5aed487469a41a33095fac1060a,dorm-end (busride),12,2104,51
28952adba336028be5c8f72c5c495858cb8ce31dc99751fa7f640f29,others (busride),7,2104,51
28ef7604081466a513c31de0b93cfd719fa54cfd54b793b54f88d1e3,others (busride),6,2105,51
2945b5bbbcc170e0ddad09f7c4359989e47302c38661fe219226cb7e,dorm-start (busride),18,2114,51
2a9113b1bfa23f3bfe6bcf1e9ec42b2ac2e00521ae0badae58c98b05,others (moving),2,2127,51
2addb7194f45a8f6ee6d1fe8601aa79dab39b0f903856abeaad94898,dorm-start-end (busride),6,2138,52
2b9113e7bef4e0f86e6f9cdd2fd60bba48d4175ca8d9b1fdb24afe56,others (busride),1,2154,52
2eb1afefac06d10260fa41d3a5361f0118e68d5633a567ae4761112e,dorm-end (busride),12,2163,52
30932a441378fc7434b38e29d577307f0371239686c2be8d6b143652,others (busride),1,2164,52
30dadbfd9c9eac64bb08d7988eead1b49eb79fbb135c2465e3af1f9f,others (busride),1,2165,52
33793b86099ca10787265016a280eaf1f274ed12f8abf34b49d94fc0,others (busride),2,2166,52
33847752f77862a0fb86227ad2dd7805bcf6f46192da6d54a9da7074,others (busride),17,2176,52
35619eb52324c7fa5cb1f00100febd22d2c370a6318f9a97436f7f92,dorm-start-end (busride),10,2186,53
35d194e80eeb0961547ec5b7a59f74f9d9834271b352a6e26a9ed171,dorm-start (busride),7,2188,53
3652a07c7c2b3ccf6f61672b6abf4ddaeda1ca0fd071c0bf836c3984,others (busride),1,2199,53
37ff8a5ad8ff249d534d7d5401e431c96838619a2bf2e9386f711f88,others (busride),6,2205,53
382dee26ef072dcb515e25bc3f7f7ffe643a38353859083f158ae290,dorm-start (busride),15,2206,53
387c907700a1c6cb1975752f218b8b9a4a50e8600be4ffc8207ff45d,others (busride),2,2224,54
39a69daade573570fed3230de84d4898151e1f7fffdc78c92e7d678d,dorm-start-end (busride),10,2226,54
3a5027dd6b7a042d5edc352634a8861faf171f3553d95f325bf682a6,others (busride),2,2228,54
3c539e475586912abf0650ed8d57fffb7ac307a8b9b67ad4777b7807,dorm-end (busride),10,2237,54
3cb5767c935b7de74480e172f72b609a5bd2d6e8e64b1a7ae66c30b3,dorm-start-end (busride),8,2249,54
409961dcaa96ee80fd28e8ada8a2e94ee13236e53f4213d42c57f3fe,others (busride),9,2259,54
40a3473110c6b7b9fa2e36fc53e565a6a5f02407990de3bc7c09b56a,dorm-start (busride),4,2260,54
41a303e177fa93d93a0c3a46a5ffd2c475f92c8f2d429a4dce20e5e9,dorm-start-end (busride),17,2266,55
42a9ecc468651843ce6fa8b3e16f1814ff01a0fea3fc50828e4fa0b5,others (busride),2,2272,55
43952c0c5239a8b2a90039e0e8e9731c97f0df6e43e2a24bd5d0fc8f,others (busride),1,2276,55
44d9e9e08f3bac61d9d2f3e0ae04e7c69a98427bbd77f2302e3ad819,dorm-start-end (busride),3,2285,55
4574be0f9462034c2749621705210c2847df0e3fab4864574ab18f0b,dorm-start (busride),9,2287,55
458a2be8356ef7e3ae9af1a1200e3b3e843fd42e5a3a301b72a64e88,dorm-start-end (busride),5,2289,55
45b852dbc0d5a2dfd8391e4577306ac7eb27e08b3091f1e78da228a7,dorm-start (busride),15,2290,55
